2018/05/22 09:48.49:    1529540329.048816:6ABE0326E806*                 :CSMA Data frame: frame len=221, FEC OK
2018/05/22 09:48.49:    1529540329.566054:6ABE0326E806*                 :CSMA Data frame: frame len=221, FEC OK
2018/05/22 09:48.50:    1529540330.085904:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.50:    1529540330.602495:6ABE0326E806*                 :CSMA Data frame: frame len=208, FEC OK
2018/05/22 09:49.54:    1529540394.996277:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:49.55:    1529540395.445327:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:49.55:    1529540395.968330:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:49.56:    1529540396.926629:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:49.57:    1529540397.959757:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/05/22 09:49.58:    1529540398.966853:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 09:49.59:    1529540399.995034:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.00:    1529540400.512731:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.01:    1529540401.028195:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/05/22 09:50.18:    1529540418.170735:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:50.19:    1529540419.180360:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.20:    1529540420.191633:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.20:    1529540420.704030:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.21:    1529540421.214454:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 09:50.21:    1529540421.720769:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:50.22:    1529540422.226756:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:50.22:    1529540422.834876:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.23:    1529540423.340014:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:50.23:    1529540423.853461:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.24:    1529540424.363406:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.24:    1529540424.870806:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.25:    1529540425.395325:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.25:    1529540425.903902:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:50.26:    1529540426.414140:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.26:    1529540426.922781:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/05/22 09:50.27:    1529540427.428393:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/05/22 09:50.28:    1529540428.037409:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.28:    1529540428.546760:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.29:    1529540429.059114:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.29:    1529540429.569385:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/05/22 09:50.30:    1529540430.080051:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.30:    1529540430.589617:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.31:    1529540431.097986:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:50.31:    1529540431.606093:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:50.32:    1529540432.114613:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.33:    1529540433.223589:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.34:    1529540434.238579:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.35:    1529540435.249721:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.36:    1529540436.260313:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/05/22 09:50.36:    1529540436.773089:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.37:    1529540437.300064:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/05/22 09:50.37:    1529540437.809861:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.38:    1529540438.336763:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.38:    1529540438.840502:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.39:    1529540439.343704:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.39:    1529540439.846975:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:50.40:    1529540440.464989:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.40:    1529540440.974394:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.41:    1529540441.485271:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.41:    1529540441.995050:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.42:    1529540442.513159:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.43:    1529540443.017033:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:50.43:    1529540443.530376:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.44:    1529540444.038551:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/05/22 09:50.44:    1529540444.548990:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.45:    1529540445.063163:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.45:    1529540445.572634:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.46:    1529540446.099307:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.46:    1529540446.603564:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.47:    1529540447.109388:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.47:    1529540447.633425:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.48:    1529540448.145363:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/05/22 09:50.48:    1529540448.661108:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.49:    1529540449.174231:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.49:    1529540449.688936:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.50:    1529540450.206659:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:50.50:    1529540450.730112:6ABE0326E806*                 :CSMA Data frame: frame len=227, FEC OK
2018/05/22 09:50.51:    1529540451.246492:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.51:    1529540451.770251:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.52:    1529540452.786723:6ABE0326E806*                 :CSMA Data frame: frame len=231, FEC OK
2018/05/22 09:50.53:    1529540453.802850:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:50.54:    1529540454.822009:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/05/22 09:50.55:    1529540455.843019:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:50.56:    1529540456.879844:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:50.57:    1529540457.895172:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.58:    1529540458.915514:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:50.59:    1529540459.942447:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:51.00:    1529540460.987050:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/05/22 09:51.02:    1529540462.005390:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:51.03:    1529540463.027056:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:51.04:    1529540464.041880:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:51.05:    1529540465.262508:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:51.06:    1529540466.087413:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:51.07:    1529540467.110281:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:51.08:    1529540468.129805:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:51.08:    1529540468.662821:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:51.09:    1529540469.181426:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:51.09:    1529540469.703087:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:51.26:    1529540486.509974:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:51.27:    1529540487.516991:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:51.28:    1529540488.525015:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:51.29:    1529540489.035710:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:51.29:    1529540489.543423:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:51.30:    1529540490.049594:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:51.30:    1529540490.559049:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:51.31:    1529540491.079422:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/05/22 09:51.31:    1529540491.606997:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 09:51.32:    1529540492.135446:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/05/22 09:51.33:    1529540493.159486:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:51.34:    1529540494.189971:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:51.35:    1529540495.217259:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/05/22 09:51.36:    1529540496.231935:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/05/22 09:51.37:    1529540497.285564:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:51.38:    1529540498.294407:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:51.39:    1529540499.318065:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:51.40:    1529540500.335277:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:51.41:    1529540501.368401:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
